keywords,number_of_times_word_appeared,tf,idf,tf_idf
ink,17,0.0001639929386569943,-2.833213344056216,-0.0004646269821339887
dependent,17,0.0001639929386569943,-2.833213344056216,-0.0004646269821339887
means,17,0.0001639929386569943,-2.833213344056216,-0.0004646269821339887
therefore,17,0.0001639929386569943,-2.833213344056216,-0.0004646269821339887
view,16,0.00015434629520658287,-2.772588722239781,-0.00042793879740926367
anti,16,0.00015434629520658287,-2.772588722239781,-0.00042793879740926367
limit,16,0.00015434629520658287,-2.772588722239781,-0.00042793879740926367
models,16,0.00015434629520658287,-2.772588722239781,-0.00042793879740926367
life,16,0.00015434629520658287,-2.772588722239781,-0.00042793879740926367
tasks,16,0.00015434629520658287,-2.772588722239781,-0.00042793879740926367
side,16,0.00015434629520658287,-2.772588722239781,-0.00042793879740926367
ix,16,0.00015434629520658287,-2.772588722239781,-0.00042793879740926367
person,16,0.00015434629520658287,-2.772588722239781,-0.00042793879740926367
interfaces,16,0.00015434629520658287,-2.772588722239781,-0.00042793879740926367
synchronous,15,0.00014469965175617144,-2.70805020110221,-0.00039185392103771984
network,15,0.00014469965175617144,-2.70805020110221,-0.00039185392103771984
movement,15,0.00014469965175617144,-2.70805020110221,-0.00039185392103771984
head,15,0.00014469965175617144,-2.70805020110221,-0.00039185392103771984
tools,15,0.00014469965175617144,-2.70805020110221,-0.00039185392103771984
their,15,0.00014469965175617144,-2.70805020110221,-0.00039185392103771984
goals,15,0.00014469965175617144,-2.70805020110221,-0.00039185392103771984
functional,15,0.00014469965175617144,-2.70805020110221,-0.00039185392103771984
ubiquitouscomputing,15,0.00014469965175617144,-2.70805020110221,-0.00039185392103771984
sometimes,15,0.00014469965175617144,-2.70805020110221,-0.00039185392103771984
standing,15,0.00014469965175617144,-2.70805020110221,-0.00039185392103771984
designs,15,0.00014469965175617144,-2.70805020110221,-0.00039185392103771984
domain,14,0.00013505300830576002,-2.639057329615259,-0.0003564126314559064
hci,14,0.00013505300830576002,-2.639057329615259,-0.0003564126314559064
analysis,14,0.00013505300830576002,-2.639057329615259,-0.0003564126314559064
range,14,0.00013505300830576002,-2.639057329615259,-0.0003564126314559064
needs,13,0.00012540636485534857,-2.5649493574615367,-0.0003216609749573134
common,13,0.00012540636485534857,-2.5649493574615367,-0.0003216609749573134
windows,13,0.00012540636485534857,-2.5649493574615367,-0.0003216609749573134
humans,13,0.00012540636485534857,-2.5649493574615367,-0.0003216609749573134
decision,13,0.00012540636485534857,-2.5649493574615367,-0.0003216609749573134
participants,13,0.00012540636485534857,-2.5649493574615367,-0.0003216609749573134
small,13,0.00012540636485534857,-2.5649493574615367,-0.0003216609749573134
style,13,0.00012540636485534857,-2.5649493574615367,-0.0003216609749573134
requirements,13,0.00012540636485534857,-2.5649493574615367,-0.0003216609749573134
etc,12,0.00011575972140493716,-2.4849066497880004,-0.0002876521014967347
whichis,12,0.00011575972140493716,-2.4849066497880004,-0.0002876521014967347
features,12,0.00011575972140493716,-2.4849066497880004,-0.0002876521014967347
lution,12,0.00011575972140493716,-2.4849066497880004,-0.0002876521014967347
termmemory,12,0.00011575972140493716,-2.4849066497880004,-0.0002876521014967347
forexam,12,0.00011575972140493716,-2.4849066497880004,-0.0002876521014967347
processing,12,0.00011575972140493716,-2.4849066497880004,-0.0002876521014967347
variable,11,0.00010611307795452572,-2.3978952727983707,-0.0002544480480092422
sounds,11,0.00010611307795452572,-2.3978952727983707,-0.0002544480480092422
theway,11,0.00010611307795452572,-2.3978952727983707,-0.0002544480480092422
modal,11,0.00010611307795452572,-2.3978952727983707,-0.0002544480480092422
forexample,11,0.00010611307795452572,-2.3978952727983707,-0.0002544480480092422
focus,11,0.00010611307795452572,-2.3978952727983707,-0.0002544480480092422
performance,11,0.00010611307795452572,-2.3978952727983707,-0.0002544480480092422
high,11,0.00010611307795452572,-2.3978952727983707,-0.0002544480480092422
graph,11,0.00010611307795452572,-2.3978952727983707,-0.0002544480480092422
dialog,11,0.00010611307795452572,-2.3978952727983707,-0.0002544480480092422
due,11,0.00010611307795452572,-2.3978952727983707,-0.0002544480480092422
reasoning,11,0.00010611307795452572,-2.3978952727983707,-0.0002544480480092422
mail,10,9.64664345041143e-05,-2.3025850929940455,-0.00022212217406346001
menus,10,9.64664345041143e-05,-2.3025850929940455,-0.00022212217406346001
thereis,10,9.64664345041143e-05,-2.3025850929940455,-0.00022212217406346001
chapter1,10,9.64664345041143e-05,-2.3025850929940455,-0.00022212217406346001
ltm,10,9.64664345041143e-05,-2.3025850929940455,-0.00022212217406346001
isnot,10,9.64664345041143e-05,-2.3025850929940455,-0.00022212217406346001
knowledgerepresentation,10,9.64664345041143e-05,-2.3025850929940455,-0.00022212217406346001
operation,10,9.64664345041143e-05,-2.3025850929940455,-0.00022212217406346001
isthat,10,9.64664345041143e-05,-2.3025850929940455,-0.00022212217406346001
rule,10,9.64664345041143e-05,-2.3025850929940455,-0.00022212217406346001
problemsolving,10,9.64664345041143e-05,-2.3025850929940455,-0.00022212217406346001
paper,10,9.64664345041143e-05,-2.3025850929940455,-0.00022212217406346001
independent,10,9.64664345041143e-05,-2.3025850929940455,-0.00022212217406346001
theevalu,10,9.64664345041143e-05,-2.3025850929940455,-0.00022212217406346001
subject,10,9.64664345041143e-05,-2.3025850929940455,-0.00022212217406346001
accu,10,9.64664345041143e-05,-2.3025850929940455,-0.00022212217406346001
clear,10,9.64664345041143e-05,-2.3025850929940455,-0.00022212217406346001
mouse,10,9.64664345041143e-05,-2.3025850929940455,-0.00022212217406346001
stm,10,9.64664345041143e-05,-2.3025850929940455,-0.00022212217406346001
cient,10,9.64664345041143e-05,-2.3025850929940455,-0.00022212217406346001
emotion,10,9.64664345041143e-05,-2.3025850929940455,-0.00022212217406346001
perception,9,8.681979105370286e-05,-2.1972245773362196,-0.00019076257870239116
away,9,8.681979105370286e-05,-2.1972245773362196,-0.00019076257870239116
slow,9,8.681979105370286e-05,-2.1972245773362196,-0.00019076257870239116
second,9,8.681979105370286e-05,-2.1972245773362196,-0.00019076257870239116
sonal,9,8.681979105370286e-05,-2.1972245773362196,-0.00019076257870239116
functionality,9,8.681979105370286e-05,-2.1972245773362196,-0.00019076257870239116
contents,9,8.681979105370286e-05,-2.1972245773362196,-0.00019076257870239116
known,9,8.681979105370286e-05,-2.1972245773362196,-0.00019076257870239116
solution,9,8.681979105370286e-05,-2.1972245773362196,-0.00019076257870239116
seealso,9,8.681979105370286e-05,-2.1972245773362196,-0.00019076257870239116
storage,9,8.681979105370286e-05,-2.1972245773362196,-0.00019076257870239116
tk,9,8.681979105370286e-05,-2.1972245773362196,-0.00019076257870239116
ifthe,9,8.681979105370286e-05,-2.1972245773362196,-0.00019076257870239116
theeye,9,8.681979105370286e-05,-2.1972245773362196,-0.00019076257870239116
itself,9,8.681979105370286e-05,-2.1972245773362196,-0.00019076257870239116
thehelp,9,8.681979105370286e-05,-2.1972245773362196,-0.00019076257870239116
positioning,8,7.717314760329143e-05,-2.0794415416798357,-0.00016047704902847387
nally,8,7.717314760329143e-05,-2.0794415416798357,-0.00016047704902847387
interest,8,7.717314760329143e-05,-2.0794415416798357,-0.00016047704902847387
according,8,7.717314760329143e-05,-2.0794415416798357,-0.00016047704902847387
ceptors,8,7.717314760329143e-05,-2.0794415416798357,-0.00016047704902847387
constrain,8,7.717314760329143e-05,-2.0794415416798357,-0.00016047704902847387
designrationale,8,7.717314760329143e-05,-2.0794415416798357,-0.00016047704902847387
persona,8,7.717314760329143e-05,-2.0794415416798357,-0.00016047704902847387
angle,8,7.717314760329143e-05,-2.0794415416798357,-0.00016047704902847387
short,8,7.717314760329143e-05,-2.0794415416798357,-0.00016047704902847387
thehuman,8,7.717314760329143e-05,-2.0794415416798357,-0.00016047704902847387
usabilityengineering,8,7.717314760329143e-05,-2.0794415416798357,-0.00016047704902847387
paradigms,8,7.717314760329143e-05,-2.0794415416798357,-0.00016047704902847387
ergonomic,8,7.717314760329143e-05,-2.0794415416798357,-0.00016047704902847387
longer,8,7.717314760329143e-05,-2.0794415416798357,-0.00016047704902847387
guidelines,8,7.717314760329143e-05,-2.0794415416798357,-0.00016047704902847387
another,7,6.752650415288001e-05,-1.9459101490553135,-0.000131400509761315
g6,7,6.752650415288001e-05,-1.9459101490553135,-0.000131400509761315
softwarelifecycle,7,6.752650415288001e-05,-1.9459101490553135,-0.000131400509761315
psychological,7,6.752650415288001e-05,-1.9459101490553135,-0.000131400509761315
groupware,7,6.752650415288001e-05,-1.9459101490553135,-0.000131400509761315
distance,7,6.752650415288001e-05,-1.9459101490553135,-0.000131400509761315
options,7,6.752650415288001e-05,-1.9459101490553135,-0.000131400509761315
theycan,7,6.752650415288001e-05,-1.9459101490553135,-0.000131400509761315
being,7,6.752650415288001e-05,-1.9459101490553135,-0.000131400509761315
speechrecognition,7,6.752650415288001e-05,-1.9459101490553135,-0.000131400509761315
local,7,6.752650415288001e-05,-1.9459101490553135,-0.000131400509761315
cd,7,6.752650415288001e-05,-1.9459101490553135,-0.000131400509761315
decisions,7,6.752650415288001e-05,-1.9459101490553135,-0.000131400509761315
inorderto,7,6.752650415288001e-05,-1.9459101490553135,-0.000131400509761315
interactivity,7,6.752650415288001e-05,-1.9459101490553135,-0.000131400509761315
global,7,6.752650415288001e-05,-1.9459101490553135,-0.000131400509761315
aect,7,6.752650415288001e-05,-1.9459101490553135,-0.000131400509761315
augmentedreality,7,6.752650415288001e-05,-1.9459101490553135,-0.000131400509761315
intention,7,6.752650415288001e-05,-1.9459101490553135,-0.000131400509761315
ddisplays,7,6.752650415288001e-05,-1.9459101490553135,-0.000131400509761315
pop,7,6.752650415288001e-05,-1.9459101490553135,-0.000131400509761315
cscw,6,5.787986070246858e-05,-1.791759469228055,-0.00010370678849124886
initial,6,5.787986070246858e-05,-1.791759469228055,-0.00010370678849124886
thumb,6,5.787986070246858e-05,-1.791759469228055,-0.00010370678849124886
scenarios,6,5.787986070246858e-05,-1.791759469228055,-0.00010370678849124886
background,6,5.787986070246858e-05,-1.791759469228055,-0.00010370678849124886
abilities,6,5.787986070246858e-05,-1.791759469228055,-0.00010370678849124886
universaldesign,6,5.787986070246858e-05,-1.791759469228055,-0.00010370678849124886
approaches,6,5.787986070246858e-05,-1.791759469228055,-0.00010370678849124886
understood,6,5.787986070246858e-05,-1.791759469228055,-0.00010370678849124886
structures,6,5.787986070246858e-05,-1.791759469228055,-0.00010370678849124886
rapidly,6,5.787986070246858e-05,-1.791759469228055,-0.00010370678849124886
therearedierent,6,5.787986070246858e-05,-1.791759469228055,-0.00010370678849124886
standards,6,5.787986070246858e-05,-1.791759469228055,-0.00010370678849124886
retrieval,6,5.787986070246858e-05,-1.791759469228055,-0.00010370678849124886
three,6,5.787986070246858e-05,-1.791759469228055,-0.00010370678849124886
iterativedesign,6,5.787986070246858e-05,-1.791759469228055,-0.00010370678849124886
hypothesis,6,5.787986070246858e-05,-1.791759469228055,-0.00010370678849124886
ergonomics,6,5.787986070246858e-05,-1.791759469228055,-0.00010370678849124886
thesoftwarelifecycle,6,5.787986070246858e-05,-1.791759469228055,-0.00010370678849124886
thinking,6,5.787986070246858e-05,-1.791759469228055,-0.00010370678849124886
variables,6,5.787986070246858e-05,-1.791759469228055,-0.00010370678849124886
eling,6,5.787986070246858e-05,-1.791759469228055,-0.00010370678849124886
meetingrooms,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
heuristics,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
limitations,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
pointer,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
degree,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
physicalcontrols,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
forgetting,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
luminance,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
thewimpinterface,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
stimulus,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
icons,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
paradigmsforinteraction,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
phoneme,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
naturallanguage,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
load,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
vision,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
hardware,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
technologies,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
turn,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
asynchronous,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
alignment,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
elementsofthewimp,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
observations,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
ontheuser,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
printing,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
better,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
articulation,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
sms,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
buttons,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
adapting,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
physiological,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
sharedapplicationsandartifacts,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
agent,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
remote,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
sured,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
representations,5,4.823321725205715e-05,-1.6094379124341003,-7.762836848413129e-05
directmanipulation,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
gure3,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
held,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
evaluationthroughuserparticipation,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
why,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
displaydevices,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
a3d,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
basedtechniques,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
finally,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
theappropri,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
hearing,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
ofthesound,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
properties,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
handwritingrecognition,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
chapter9,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
designingfordiversity,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
pointers,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
pertise,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
seealsog,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
processingandnetworks,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
evaluationtechniques,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
navigation,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
adaptivehelpsystems,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
reading,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
compression,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
observe,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
sequences,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
bulletinboards,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
www,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
authoring,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
immersive,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
interactionstyles,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
thetime,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
egy,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
atthesametime,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
awareness,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
sticks,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
senses,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
iterationandprototyping,4,3.858657380164572e-05,-1.3862943611198906,-5.349234967615796e-05
